,ID,EQValue,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Innovativeness,RiskTaking,Proactiveness,Need4Achieve,Networking,Hipster,Hacker,Hustler
0,1001017007,5.509499999999999,0.5,0.5,0.8,0.5,0.6,0.8571428571428571,0.42857142857142855,0.6785714285714286,0.7428571428571429,0.8571428571428571,0.8333333333333334,0.8979591836734694,0.8095238095238095
1,1161101467,3.99215,0.5,0.5,0.5,0.5,0.5,0.5306122448979592,0.23809523809523808,0.2857142857142857,0.3142857142857143,0.5952380952380952,0.5714285714285714,0.5714285714285714,0.42857142857142855
2,1161300339,4.1246,0.6,0.7,0.5,0.7,0.7,0.5714285714285714,0.38095238095238093,0.39285714285714285,0.4,0.6190476190476191,0.6904761904761905,0.5918367346938775,0.6666666666666666
3,1161100262,5.889799999999999,0.5,0.9,0.7,0.3,0.4,0.8775510204081632,0.14285714285714285,0.75,0.2857142857142857,0.9047619047619048,0.9047619047619048,0.7142857142857143,0.8571428571428571
4,1161100025,2.0864,0.6,0.5,0.4,0.3,0.5,0.7346938775510204,0.47619047619047616,0.32142857142857145,0.3142857142857143,0.7142857142857143,0.6904761904761905,0.6326530612244898,0.7380952380952381
5,1161102521,3.6612,0.6,0.7,0.5,0.4,0.5,0.7346938775510204,0.42857142857142855,0.4642857142857143,0.2571428571428571,0.47619047619047616,0.7142857142857143,0.673469387755102,0.5952380952380952
6,1161102085,4.5906,0.7,0.9,0.5,0.4,0.6,0.7142857142857143,0.47619047619047616,0.32142857142857145,0.2857142857142857,0.7380952380952381,0.6666666666666666,0.7346938775510204,0.6904761904761905
7,1161100772,3.3714,0.2,0.4,0.2,0.7,0.9,0.6122448979591837,0.14285714285714285,0.4642857142857143,0.34285714285714286,0.5714285714285714,0.5952380952380952,0.7551020408163265,0.7142857142857143
8,1161102408,3.8537999999999997,0.9,0.6,0.7,0.3,0.4,0.6938775510204082,0.3333333333333333,0.5,0.34285714285714286,0.5476190476190477,0.8333333333333334,0.5714285714285714,0.8571428571428571
9,1161100846,3.882,0.6,0.3,0.3,0.4,0.3,0.5306122448979592,0.5238095238095238,0.42857142857142855,0.42857142857142855,0.7380952380952381,0.47619047619047616,0.5714285714285714,0.6428571428571429
10,1161101506,4.2555,0.6,0.8,0.6,0.4,0.5,0.7551020408163265,0.19047619047619047,0.5,0.3142857142857143,0.5714285714285714,0.6428571428571429,0.6938775510204082,0.6666666666666666
11,1161100520,3.7560000000000002,0.5,0.8,0.4,0.6,0.4,0.6326530612244898,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5952380952380952,0.5510204081632653,0.5476190476190477
12,1161301508,4.3354,0.9,0.6,0.5,0.3,0.5,0.6530612244897959,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.7142857142857143,0.6428571428571429,0.6326530612244898,0.8809523809523809
